sub,trl,cpos,cdur,resp,rt,type,d1,d2,correct,rt_new,c_s,inCm,UCL
5,279,1,300,1,0.393,2,300,500,0,0.393,0.6743174894217913,FALSE,0.5486169530701496
5,546,1,500,2,0.393,3,500,500,0,0.393,NA,empty,NA
5,568,1,380,2,0.393,2,380,500,1,0.393,0.6775743145275733,FALSE,0.5488042330118116
5,96,1,380,2,0.394,2,380,500,1,0.394,0.6807985713822976,FALSE,0.54889482878577
5,133,2,540,2,0.394,2,500,540,1,0.394,0.6839905856684746,FALSE,0.5489834591140537
5,75,2,660,2,0.396,2,500,660,1,0.396,0.6871506798117899,FALSE,0.5490701703621383
5,113,1,380,2,0.396,2,380,500,1,0.396,0.690279173013672,FALSE,0.5491550076303914
5,343,2,380,1,0.396,1,500,380,1,0.276,0.6933763812835353,FALSE,0.549238014796684
5,382,2,700,2,0.396,2,500,700,1,0.396,0.6964426174706999,FALSE,0.5493192345571808
5,303,1,700,1,0.397,1,700,500,1,0.197,0.6994781912959929,FALSE,0.5493987084654024
5,623,1,340,2,0.397,2,340,500,1,0.397,0.702483409383033,FALSE,0.5494764769696532
5,390,2,660,2,0.403,2,500,660,1,0.403,0.7054585752892026,FALSE,0.5495525794488983
5,508,2,700,2,0.403,2,500,700,1,0.403,0.7084039895363106,FALSE,0.5496270542471705
5,647,1,700,1,0.404,1,700,500,1,0.20400000000000001,0.7113199496409475,FALSE,0.5496999387065808
5,398,2,300,1,0.406,1,500,300,1,0.20600000000000002,0.714206750144538,FALSE,0.5497712691990055
5,411,2,620,2,0.407,2,500,620,1,0.407,0.7170646826430926,FALSE,0.5498410811565123
5,622,2,540,2,0.409,2,500,540,1,0.409,0.7198940358166617,FALSE,0.5499094091005908
5,336,1,540,2,0.41,1,540,500,0,0.37,0.7126950954584951,FALSE,0.549976286670244
5,410,2,700,2,0.41,2,500,700,1,0.41,0.7155681445039102,FALSE,0.5500417466489971
5,471,1,300,2,0.41,2,300,500,1,0.41,0.7184124630588711,FALSE,0.5501058209908742
5,522,1,500,1,0.411,3,500,500,0,0.411,NA,empty,NA
5,139,2,700,2,0.413,2,500,700,1,0.413,0.7212283384282824,FALSE,0.5502299365816223
5,643,1,660,2,0.413,1,660,500,0,0.253,0.7140160550439996,FALSE,0.5502900378113481
5,581,1,380,2,0.414,2,380,500,1,0.414,0.7168758944935596,FALSE,0.5503488734113862
5,469,1,660,1,0.416,1,660,500,1,0.256,0.719707135548624,FALSE,0.5504064715450829
5,523,2,460,2,0.416,1,500,460,0,0.376,0.7125100641931378,FALSE,0.5504628596830393
5,572,2,660,2,0.418,2,500,660,1,0.418,0.7153849635512064,FALSE,0.5505180646230935
5,639,1,380,2,0.419,2,380,500,1,0.419,0.7182311139156944,FALSE,0.5505721125095948
5,100,2,420,2,0.42,1,500,420,0,0.33999999999999997,0.7110488027765375,FALSE,0.5506250288519999
5,648,2,580,2,0.424,2,500,580,1,0.424,0.7139383147487721,FALSE,0.5506768385428209
5,224,1,340,2,0.426,2,340,500,1,0.426,0.7167989316012844,FALSE,0.5507275658749531
5,335,1,380,2,0.426,2,380,500,1,0.426,0.7196309422852716,FALSE,0.5507772345584092
5,406,1,460,2,0.426,2,460,500,1,0.426,0.7224346328624188,FALSE,0.5508258677364849
5,467,1,700,1,0.426,1,700,500,1,0.22599999999999998,0.7252102865337946,FALSE,0.5508734880013788
5,611,1,420,2,0.426,2,420,500,1,0.426,0.7279581836684567,FALSE,0.5509201174092917
5,151,1,580,1,0.427,1,580,500,1,0.347,0.7306786018317721,FALSE,0.5509657774950233
5,217,1,340,1,0.431,2,340,500,0,0.431,0.7233718158134544,FALSE,0.5510104892860904
5,272,1,300,2,0.432,2,300,500,1,0.432,0.7261380976553199,FALSE,0.551054273316383
5,606,1,460,2,0.433,2,460,500,1,0.433,0.7288767166787667,FALSE,0.5510971496393786
5,46,2,540,2,0.435,2,500,540,1,0.435,0.731587949511979,FALSE,0.5511391378409316
5,543,2,460,1,0.435,1,500,460,1,0.395,0.7342720700168592,FALSE,0.5511802570516545
5,563,2,540,2,0.435,2,500,540,1,0.435,0.7369293493166906,FALSE,0.5512205259589078
5,71,2,580,2,0.437,2,500,580,1,0.437,0.7395600558235237,FALSE,0.5512599628184118
5,52,2,380,1,0.438,1,500,380,1,0.318,0.7421644552652884,FALSE,0.5512985854654967
5,117,2,540,2,0.44,2,500,540,1,0.44,0.7447428107126355,FALSE,0.5513364113260046
5,218,2,660,2,0.441,2,500,660,1,0.441,0.7472953826055091,FALSE,0.5513734574268547
5,301,2,540,1,0.441,2,500,540,0,0.441,0.739822428779454,FALSE,0.5514097404062877
5,489,2,540,2,0.441,2,500,540,1,0.441,0.7424242044916595,FALSE,0.5514452765237967
5,596,1,380,2,0.441,2,380,500,1,0.441,0.7449999624467428,FALSE,0.551480081669762
5,140,1,380,2,0.443,2,380,500,1,0.443,0.7475499628222754,FALSE,0.5515141713747949
5,642,1,300,2,0.443,2,300,500,1,0.443,0.7500744631940526,FALSE,0.5515475608188045
5,554,1,420,2,0.445,2,420,500,1,0.445,0.7525737185621121,FALSE,0.5515802648397972
5,102,2,300,1,0.447,1,500,300,1,0.247,0.755047981376491,FALSE,0.5516122979424172
5,255,2,500,2,0.448,3,500,500,0,0.448,NA,empty,NA
5,365,2,460,1,0.448,1,500,460,1,0.40800000000000003,0.7574975015627261,FALSE,0.5516744077938142
5,273,1,580,1,0.449,1,580,500,1,0.369,0.7599225265470988,FALSE,0.5517045119584999
5,465,2,380,1,0.449,1,500,380,1,0.329,0.7623233012816278,FALSE,0.5517340000520452
5,651,1,620,1,0.451,1,620,500,1,0.331,0.7647000682688115,FALSE,0.5517628850319749
5,257,2,300,1,0.452,1,500,300,1,0.252,0.7670530675861235,FALSE,0.5517911795687592
