sub,trl,cpos,cdur,resp,rt,type,d1,d2,correct,c_s,inCm,UCL
5,484,2,500,2,703,3,500,500,0,NA,empty,NA
5,588,2,400,1,705,1,500,400,1,0.9086192464038613,FALSE,0.5531631972103702
5,244,2,540,2,707,2,500,540,1,0.9095330539398226,FALSE,0.5531632547858942
5,535,2,560,2,708,2,500,560,1,0.9104377234004244,FALSE,0.5531633112156048
5,29,2,460,2,714,1,500,460,0,0.9013333461664201,FALSE,0.5531633665223059
5,456,2,480,1,715,1,500,480,1,0.9023200127047559,FALSE,0.553163420728348
5,402,2,540,1,716,2,500,540,0,0.8932968125777083,FALSE,0.5531634738556361
5,571,2,440,1,717,1,500,440,1,0.8943638444519313,FALSE,0.5531635259256398
5,57,2,500,1,721,3,500,500,0,NA,empty,NA
5,81,2,540,2,721,2,500,540,1,0.895420206007412,FALSE,0.5531636269775424
5,69,2,600,2,735,2,500,600,1,0.8964660039473379,FALSE,0.5531636760002774
5,424,2,520,1,736,2,500,520,0,0.8875013439078645,FALSE,0.5531637240474161
5,147,2,600,2,738,2,500,600,1,0.8886263304687858,FALSE,0.5531637711383746
5,645,2,460,1,738,1,500,460,1,0.8897400671640979,FALSE,0.5531638172921826
5,51,2,600,2,743,2,500,600,1,0.8908426664924569,FALSE,0.5531638625274908
5,189,2,560,2,743,2,500,560,1,0.8919342398275324,FALSE,0.5531639068625791
5,380,2,540,1,752,2,500,540,0,0.8830148974292571,FALSE,0.5531639503153634
5,658,2,500,1,752,3,500,500,0,NA,empty,NA
5,184,2,560,2,756,2,500,560,1,0.8841847484549645,FALSE,0.5531640346439068
5,628,2,440,1,757,1,500,440,1,0.8853429009704149,FALSE,0.5531640755537433
5,9,2,560,2,760,2,500,560,1,0.8864894719607107,FALSE,0.5531641156494433
5,79,2,560,2,760,2,500,560,1,0.8876245772411036,FALSE,0.5531641549472096
5,500,2,540,2,761,2,500,540,1,0.8887483314686925,FALSE,0.5531641934629222
5,197,2,400,1,763,1,500,400,1,0.8898608481540056,FALSE,0.5531642312121451
5,430,2,480,1,763,1,500,480,1,0.8909622396724655,FALSE,0.5531642682101323
5,586,2,500,1,764,3,500,500,0,NA,empty,NA
5,613,2,480,1,764,1,500,480,1,0.8920526172757408,FALSE,0.5531643400119052
5,453,2,520,2,765,2,500,520,1,0.8931320911029834,FALSE,0.5531643748447052
